epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,371.148,0,5.59404,0,0,0,0,0,0,178.157,0,0.000332667,0.000332667,0.000332667
2,649.407,0,4.30886,0,0,0,0,0,0,8.7064,0,0.000644022,0.000644022,0.000644022
3,945.064,0,3.25493,0,0,0,0,0,0,13.5896,0,0.000933377,0.000933377,0.000933377
4,1164.86,0,2.36425,0,0,0,0,0,0,4.62648,0,0.000901,0.000901,0.000901
5,1352.57,0,1.65485,0,0,0,0,0,0,3.13198,0,0.000868,0.000868,0.000868
6,1576.7,0,1.12297,0,0,0,0,0,0,2.14057,0,0.000835,0.000835,0.000835
7,1817.88,0,0.74887,0,0,0,0,0,0,1.39379,0,0.000802,0.000802,0.000802
8,2015.72,0,0.49111,0,0,0,0,0,0,0.88365,0,0.000769,0.000769,0.000769
9,2205.31,0,0.31785,0,0,0,0,0,0,0.6048,0,0.000736,0.000736,0.000736
10,2424.69,0,0.20424,0,0,0,0,0,0,0.37638,0,0.000703,0.000703,0.000703
